icdcode,icdlabel,diagcodelvl1,diagdesclvl1
b2702,gammaherpesviral mononucleosis with meningitis,b27,infectious mononucleosis
b2712,cytomegaloviral mononucleosis with meningitis,b27,infectious mononucleosis
b2782,other infectious mononucleosis with meningitis,b27,infectious mononucleosis
b2792,infectious mononucleosis unspecified with meningitis,b27,infectious mononucleosis
b3320,viral carditis unspecified,b33,other viral diseases not elsewhere classified
b3321,viral endocarditis,b33,other viral diseases not elsewhere classified
b3322,viral myocarditis,b33,other viral diseases not elsewhere classified
b3323,viral pericarditis,b33,other viral diseases not elsewhere classified
b3324,viral cardiomyopathy,b33,other viral diseases not elsewhere classified
b371,pulmonary candidiasis,b37,candidiasis
b375,candidal meningitis,b37,candidiasis
b376,candidal endocarditis,b37,candidiasis
b377,candidal sepsis,b37,candidiasis
b3781,candidal esophagitis,b37,candidiasis
b380,acute pulmonary coccidioidomycosis,b38,coccidioidomycosis
b381,chronic pulmonary coccidioidomycosis,b38,coccidioidomycosis
b382,pulmonary coccidioidomycosis unspecified,b38,coccidioidomycosis
b384,coccidioidomycosis meningitis,b38,coccidioidomycosis
b390,acute pulmonary histoplasmosis capsulati,b39,histoplasmosis
b391,chronic pulmonary histoplasmosis capsulati,b39,histoplasmosis
b392,pulmonary histoplasmosis capsulati unspecified,b39,histoplasmosis
b400,acute pulmonary blastomycosis,b40,blastomycosis
b401,chronic pulmonary blastomycosis,b40,blastomycosis
b402,pulmonary blastomycosis unspecified,b40,blastomycosis
b4081,blastomycotic meningoencephalitis,b40,blastomycosis
b410,pulmonary paracoccidioidomycosis,b41,paracoccidioidomycosis
b4281,cerebral sporotrichosis,b42,sporotrichosis
b4282,sporotrichosis arthritis,b42,sporotrichosis
b431,pheomycotic brain abscess,b43,chromomycosis and pheomycotic abscess
b440,invasive pulmonary aspergillosis,b44,aspergillosis
b441,other pulmonary aspergillosis,b44,aspergillosis
b442,tonsillar aspergillosis,b44,aspergillosis
b447,disseminated aspergillosis,b44,aspergillosis
b4481,allergic bronchopulmonary aspergillosis,b44,aspergillosis
b4489,other forms of aspergillosis,b44,aspergillosis
b449,aspergillosis unspecified,b44,aspergillosis
b450,pulmonary cryptococcosis,b45,cryptococcosis
b451,cerebral cryptococcosis,b45,cryptococcosis
b452,cutaneous cryptococcosis,b45,cryptococcosis
b453,osseous cryptococcosis,b45,cryptococcosis
b457,disseminated cryptococcosis,b45,cryptococcosis
b458,other forms of cryptococcosis,b45,cryptococcosis
b459,cryptococcosis unspecified,b45,cryptococcosis
b460,pulmonary mucormycosis,b46,zygomycosis
b461,rhinocerebral mucormycosis,b46,zygomycosis
b462,gastrointestinal mucormycosis,b46,zygomycosis
b463,cutaneous mucormycosis,b46,zygomycosis
b464,disseminated mucormycosis,b46,zygomycosis
b465,mucormycosis unspecified,b46,zygomycosis
b468,other zygomycoses,b46,zygomycosis
b469,zygomycosis unspecified,b46,zygomycosis
b484,penicillosis,b48,other mycoses not elsewhere classified
b488,other specified mycoses,b48,other mycoses not elsewhere classified
b5741,meningitis in chagas disease,b57,chagas disease
b5742,meningoencephalitis in chagas disease,b57,chagas disease
b582,toxoplasma meningoencephalitis,b58,toxoplasmosis
b583,pulmonary toxoplasmosis,b58,toxoplasmosis
b5881,toxoplasma myocarditis,b58,toxoplasmosis
b59,pneumocystosis,b59,pneumocystosis
b6011,meningoencephalitis due to acanthamoeba culbertsoni,b60,other protozoal diseases not elsewhere classified
b664,paragonimiasis,b66,other fluke infections
b671,echinococcus granulosus infection of lung,b67,echinococcosis
b9735,human immunodeficiency virus type 2 hiv 2 as the cause of diseases classified elsewhere,b97,viral agents as the cause of diseases classified elsewhere
c01,malignant neoplasm of base of tongue,c01,malignant neoplasm of base of tongue
c020,malignant neoplasm of dorsal surface of tongue,c02,malignant neoplasm of other and unspecified parts of tongue
c021,malignant neoplasm of border of tongue,c02,malignant neoplasm of other and unspecified parts of tongue
c022,malignant neoplasm of ventral surface of tongue,c02,malignant neoplasm of other and unspecified parts of tongue
c023,malignant neoplasm of anterior twothirds of tongue part unspecified,c02,malignant neoplasm of other and unspecified parts of tongue
c024,malignant neoplasm of lingual tonsil,c02,malignant neoplasm of other and unspecified parts of tongue
c028,malignant neoplasm of overlapping sites of tongue,c02,malignant neoplasm of other and unspecified parts of tongue
c029,malignant neoplasm of tongue unspecified,c02,malignant neoplasm of other and unspecified parts of tongue
c030,malignant neoplasm of upper gum,c03,malignant neoplasm of gum
c031,malignant neoplasm of lower gum,c03,malignant neoplasm of gum
c039,malignant neoplasm of gum unspecified,c03,malignant neoplasm of gum
c040,malignant neoplasm of anterior floor of mouth,c04,malignant neoplasm of floor of mouth
c041,malignant neoplasm of lateral floor of mouth,c04,malignant neoplasm of floor of mouth
c048,malignant neoplasm of overlapping sites of floor of mouth,c04,malignant neoplasm of floor of mouth
c049,malignant neoplasm of floor of mouth unspecified,c04,malignant neoplasm of floor of mouth
c050,malignant neoplasm of hard palate,c05,malignant neoplasm of palate
c051,malignant neoplasm of soft palate,c05,malignant neoplasm of palate
c052,malignant neoplasm of uvula,c05,malignant neoplasm of palate
c058,malignant neoplasm of overlapping sites of palate,c05,malignant neoplasm of palate
c059,malignant neoplasm of palate unspecified,c05,malignant neoplasm of palate
c060,malignant neoplasm of cheek mucosa,c06,malignant neoplasm of other and unspecified parts of mouth
c061,malignant neoplasm of vestibule of mouth,c06,malignant neoplasm of other and unspecified parts of mouth
c062,malignant neoplasm of retromolar area,c06,malignant neoplasm of other and unspecified parts of mouth
c0680,malignant neoplasm of overlapping sites of unspecified parts of mouth,c06,malignant neoplasm of other and unspecified parts of mouth
c0689,malignant neoplasm of overlapping sites of other parts of mouth,c06,malignant neoplasm of other and unspecified parts of mouth
c069,malignant neoplasm of mouth unspecified,c06,malignant neoplasm of other and unspecified parts of mouth
c07,malignant neoplasm of parotid gland,c07,malignant neoplasm of parotid gland
c080,malignant neoplasm of submandibular gland,c08,malignant neoplasm of other and unspecified major salivary glands
c081,malignant neoplasm of sublingual gland,c08,malignant neoplasm of other and unspecified major salivary glands
c089,malignant neoplasm of major salivary gland unspecified,c08,malignant neoplasm of other and unspecified major salivary glands
c090,malignant neoplasm of tonsillar fossa,c09,malignant neoplasm of tonsil
c091,malignant neoplasm of tonsillar pillar anterior posterior,c09,malignant neoplasm of tonsil
c098,malignant neoplasm of overlapping sites of tonsil,c09,malignant neoplasm of tonsil
c099,malignant neoplasm of tonsil unspecified,c09,malignant neoplasm of tonsil
c100,malignant neoplasm of vallecula,c10,malignant neoplasm of oropharynx
c101,malignant neoplasm of anterior surface of epiglottis,c10,malignant neoplasm of oropharynx
c102,malignant neoplasm of lateral wall of oropharynx,c10,malignant neoplasm of oropharynx
c103,malignant neoplasm of posterior wall of oropharynx,c10,malignant neoplasm of oropharynx
c104,malignant neoplasm of branchial cleft,c10,malignant neoplasm of oropharynx
c108,malignant neoplasm of overlapping sites of oropharynx,c10,malignant neoplasm of oropharynx
c109,malignant neoplasm of oropharynx unspecified,c10,malignant neoplasm of oropharynx
c110,malignant neoplasm of superior wall of nasopharynx,c11,malignant neoplasm of nasopharynx
c111,malignant neoplasm of posterior wall of nasopharynx,c11,malignant neoplasm of nasopharynx
c112,malignant neoplasm of lateral wall of nasopharynx,c11,malignant neoplasm of nasopharynx
c113,malignant neoplasm of anterior wall of nasopharynx,c11,malignant neoplasm of nasopharynx
c118,malignant neoplasm of overlapping sites of nasopharynx,c11,malignant neoplasm of nasopharynx
c119,malignant neoplasm of nasopharynx unspecified,c11,malignant neoplasm of nasopharynx
c12,malignant neoplasm of pyriform sinus,c12,malignant neoplasm of pyriform sinus
c130,malignant neoplasm of postcricoid region,c13,malignant neoplasm of hypopharynx
c131,malignant neoplasm of aryepiglottic fold hypopharyngeal aspect,c13,malignant neoplasm of hypopharynx
c132,malignant neoplasm of posterior wall of hypopharynx,c13,malignant neoplasm of hypopharynx
c138,malignant neoplasm of overlapping sites of hypopharynx,c13,malignant neoplasm of hypopharynx
c139,malignant neoplasm of hypopharynx unspecified,c13,malignant neoplasm of hypopharynx
c140,malignant neoplasm of pharynx unspecified,c14,malignant neoplasm of other and illdefined sites in the lip oral cavity and pharynx
c142,malignant neoplasm of waldeyers ring,c14,malignant neoplasm of other and illdefined sites in the lip oral cavity and pharynx
c148,malignant neoplasm of overlapping sites of lip oral cavity and pharynx,c14,malignant neoplasm of other and illdefined sites in the lip oral cavity and pharynx
c153,malignant neoplasm of upper third of esophagus,c15,malignant neoplasm of esophagus
c154,malignant neoplasm of middle third of esophagus,c15,malignant neoplasm of esophagus
c155,malignant neoplasm of lower third of esophagus,c15,malignant neoplasm of esophagus
c158,malignant neoplasm of overlapping sites of esophagus,c15,malignant neoplasm of esophagus
c159,malignant neoplasm of esophagus unspecified,c15,malignant neoplasm of esophagus
c160,malignant neoplasm of cardia,c16,malignant neoplasm of stomach
c161,malignant neoplasm of fundus of stomach,c16,malignant neoplasm of stomach
c162,malignant neoplasm of body of stomach,c16,malignant neoplasm of stomach
c163,malignant neoplasm of pyloric antrum,c16,malignant neoplasm of stomach
c164,malignant neoplasm of pylorus,c16,malignant neoplasm of stomach
c165,malignant neoplasm of lesser curvature of stomach unspecified,c16,malignant neoplasm of stomach
c166,malignant neoplasm of greater curvature of stomach unspecified,c16,malignant neoplasm of stomach
c168,malignant neoplasm of overlapping sites of stomach,c16,malignant neoplasm of stomach
c169,malignant neoplasm of stomach unspecified,c16,malignant neoplasm of stomach
c170,malignant neoplasm of duodenum,c17,malignant neoplasm of small intestine
c171,malignant neoplasm of jejunum,c17,malignant neoplasm of small intestine
c172,malignant neoplasm of ileum,c17,malignant neoplasm of small intestine
c173,meckels diverticulum malignant,c17,malignant neoplasm of small intestine
c178,malignant neoplasm of overlapping sites of small intestine,c17,malignant neoplasm of small intestine
c179,malignant neoplasm of small intestine unspecified,c17,malignant neoplasm of small intestine
c180,malignant neoplasm of cecum,c18,malignant neoplasm of colon
c181,malignant neoplasm of appendix,c18,malignant neoplasm of colon
c182,malignant neoplasm of ascending colon,c18,malignant neoplasm of colon
c183,malignant neoplasm of hepatic flexure,c18,malignant neoplasm of colon
c184,malignant neoplasm of transverse colon,c18,malignant neoplasm of colon
c185,malignant neoplasm of splenic flexure,c18,malignant neoplasm of colon
c186,malignant neoplasm of descending colon,c18,malignant neoplasm of colon
c187,malignant neoplasm of sigmoid colon,c18,malignant neoplasm of colon
c188,malignant neoplasm of overlapping sites of colon,c18,malignant neoplasm of colon
c189,malignant neoplasm of colon unspecified,c18,malignant neoplasm of colon
c19,malignant neoplasm of rectosigmoid junction,c19,malignant neoplasm of rectosigmoid junction
c20,malignant neoplasm of rectum,c20,malignant neoplasm of rectum
c210,malignant neoplasm of anus unspecified,c21,malignant neoplasm of anus and anal canal
c211,malignant neoplasm of anal canal,c21,malignant neoplasm of anus and anal canal
c212,malignant neoplasm of cloacogenic zone,c21,malignant neoplasm of anus and anal canal
c218,malignant neoplasm of overlapping sites of rectum anus and anal canal,c21,malignant neoplasm of anus and anal canal
c220,liver cell carcinoma,c22,malignant neoplasm of liver and intrahepatic bile ducts
c221,intrahepatic bile duct carcinoma,c22,malignant neoplasm of liver and intrahepatic bile ducts
c222,hepatoblastoma,c22,malignant neoplasm of liver and intrahepatic bile ducts
c223,angiosarcoma of liver,c22,malignant neoplasm of liver and intrahepatic bile ducts
c224,other sarcomas of liver,c22,malignant neoplasm of liver and intrahepatic bile ducts
c227,other specified carcinomas of liver,c22,malignant neoplasm of liver and intrahepatic bile ducts
c228,malignant neoplasm of liver primary unspecified as to type,c22,malignant neoplasm of liver and intrahepatic bile ducts
c229,malignant neoplasm of liver not specified as primary or secondary,c22,malignant neoplasm of liver and intrahepatic bile ducts
c23,malignant neoplasm of gallbladder,c23,malignant neoplasm of gallbladder
c240,malignant neoplasm of extrahepatic bile duct,c24,malignant neoplasm of other and unspecified parts of biliary tract
c241,malignant neoplasm of ampulla of vater,c24,malignant neoplasm of other and unspecified parts of biliary tract
c248,malignant neoplasm of overlapping sites of biliary tract,c24,malignant neoplasm of other and unspecified parts of biliary tract
c249,malignant neoplasm of biliary tract unspecified,c24,malignant neoplasm of other and unspecified parts of biliary tract
c250,malignant neoplasm of head of pancreas,c25,malignant neoplasm of pancreas
c251,malignant neoplasm of body of pancreas,c25,malignant neoplasm of pancreas
c252,malignant neoplasm of tail of pancreas,c25,malignant neoplasm of pancreas
c253,malignant neoplasm of pancreatic duct,c25,malignant neoplasm of pancreas
c254,malignant neoplasm of endocrine pancreas,c25,malignant neoplasm of pancreas
c257,malignant neoplasm of other parts of pancreas,c25,malignant neoplasm of pancreas
c258,malignant neoplasm of overlapping sites of pancreas,c25,malignant neoplasm of pancreas
c259,malignant neoplasm of pancreas unspecified,c25,malignant neoplasm of pancreas
c260,malignant neoplasm of intestinal tract part unspecified,c26,malignant neoplasm of other and illdefined digestive organs
c261,malignant neoplasm of spleen,c26,malignant neoplasm of other and illdefined digestive organs
c269,malignant neoplasm of illdefined sites within the digestive system,c26,malignant neoplasm of other and illdefined digestive organs
c300,malignant neoplasm of nasal cavity,c30,malignant neoplasm of nasal cavity and middle ear
c301,malignant neoplasm of middle ear,c30,malignant neoplasm of nasal cavity and middle ear
c310,malignant neoplasm of maxillary sinus,c31,malignant neoplasm of accessory sinuses
c311,malignant neoplasm of ethmoidal sinus,c31,malignant neoplasm of accessory sinuses
c312,malignant neoplasm of frontal sinus,c31,malignant neoplasm of accessory sinuses
c313,malignant neoplasm of sphenoid sinus,c31,malignant neoplasm of accessory sinuses
c318,malignant neoplasm of overlapping sites of accessory sinuses,c31,malignant neoplasm of accessory sinuses
c319,malignant neoplasm of accessory sinus unspecified,c31,malignant neoplasm of accessory sinuses
c320,malignant neoplasm of glottis,c32,malignant neoplasm of larynx
c321,malignant neoplasm of supraglottis,c32,malignant neoplasm of larynx
c322,malignant neoplasm of subglottis,c32,malignant neoplasm of larynx
c323,malignant neoplasm of laryngeal cartilage,c32,malignant neoplasm of larynx
c328,malignant neoplasm of overlapping sites of larynx,c32,malignant neoplasm of larynx
c329,malignant neoplasm of larynx unspecified,c32,malignant neoplasm of larynx
c33,malignant neoplasm of trachea,c33,malignant neoplasm of trachea
c3400,malignant neoplasm of unspecified main bronchus,c34,malignant neoplasm of bronchus and lung
c3401,malignant neoplasm of right main bronchus,c34,malignant neoplasm of bronchus and lung
c3402,malignant neoplasm of left main bronchus,c34,malignant neoplasm of bronchus and lung
c3410,malignant neoplasm of upper lobe unspecified bronchus or lung,c34,malignant neoplasm of bronchus and lung
c3411,malignant neoplasm of upper lobe right bronchus or lung,c34,malignant neoplasm of bronchus and lung
c3412,malignant neoplasm of upper lobe left bronchus or lung,c34,malignant neoplasm of bronchus and lung
c342,malignant neoplasm of middle lobe bronchus or lung,c34,malignant neoplasm of bronchus and lung
c3430,malignant neoplasm of lower lobe unspecified bronchus or lung,c34,malignant neoplasm of bronchus and lung
c3431,malignant neoplasm of lower lobe right bronchus or lung,c34,malignant neoplasm of bronchus and lung
c3432,malignant neoplasm of lower lobe left bronchus or lung,c34,malignant neoplasm of bronchus and lung
c3480,malignant neoplasm of overlapping sites of unspecified bronchus and lung,c34,malignant neoplasm of bronchus and lung
c3481,malignant neoplasm of overlapping sites of right bronchus and lung,c34,malignant neoplasm of bronchus and lung
c3482,malignant neoplasm of overlapping sites of left bronchus and lung,c34,malignant neoplasm of bronchus and lung
c3490,malignant neoplasm of unspecified part of unspecified bronchus or lung,c34,malignant neoplasm of bronchus and lung
c3491,malignant neoplasm of unspecified part of right bronchus or lung,c34,malignant neoplasm of bronchus and lung
c3492,malignant neoplasm of unspecified part of left bronchus or lung,c34,malignant neoplasm of bronchus and lung
c37,malignant neoplasm of thymus,c37,malignant neoplasm of thymus
c380,malignant neoplasm of heart,c38,malignant neoplasm of heart mediastinum and pleura
c381,malignant neoplasm of anterior mediastinum,c38,malignant neoplasm of heart mediastinum and pleura
c382,malignant neoplasm of posterior mediastinum,c38,malignant neoplasm of heart mediastinum and pleura
c383,malignant neoplasm of mediastinum part unspecified,c38,malignant neoplasm of heart mediastinum and pleura
c384,malignant neoplasm of pleura,c38,malignant neoplasm of heart mediastinum and pleura
c388,malignant neoplasm of overlapping sites of heart mediastinum and pleura,c38,malignant neoplasm of heart mediastinum and pleura
c390,malignant neoplasm of upper respiratory tract part unspecified,c39,malignant neoplasm of other and illdefined sites in the respiratory system and intrathoracic organs
c399,malignant neoplasm of lower respiratory tract part unspecified,c39,malignant neoplasm of other and illdefined sites in the respiratory system and intrathoracic organs
c4000,malignant neoplasm of scapula and long bones of unspecified upper limb,c40,malignant neoplasm of bone and articular cartilage of limbs
